section_name,filename,human_ann1,human_ann2,human_ann3,human_ann4
U.S.,20inaug-howtowatch-kmqc-articleLarge.jpg,We have more than two dozen reporters and visual journalists covering the events in real time.,We have more than two dozen reporters and visual journalists covering the events in real time.,How to Watch Trump’s Inauguration. How to Watch the Inauguration Events,'The swearing-in ceremony took place inside the Capitol Rotunda.'
U.S.,pol-ironrange-video-promo-articleLarge.jpg,"A region near the Canadian border, whose mines provide most of the new ore used in producing domestic steel — and cars — has a lot at stake as trade wars intensify.","A region near the Canadian border, whose mines provide most of the new ore used in producing domestic steel — and cars — has a lot at stake as trade wars intensify.","On Minnesota’s Iron Range, Trump’s Tariffs Could Be Boom or Bust. In Iron Range, Trump’s Tariffs Cast a Shadow",''
U.S.,00dc-scotus-pjfl-articleLarge.jpg,The move came after Chief Justice Roberts temporarily paused a trial judge’s order requiring the administration to release more than $1.5 billion.,The move came after Chief Justice Roberts temporarily paused a trial judge’s order requiring the administration to release more than $1.5 billion.,Supreme Court Rejects Trump’s Bid to Freeze Foreign Aid. Justices Reject  Trump’s Freeze  On Foreign Aid,"'Bundles of humanitarian aid donated by the U.S. Agency for International Development in Colombia in 2019. The current freeze by the Trump administration means medical supplies, food, and other aid is stuck in warehouses around the world. '"
U.S.,15dc-trump-capitulate-fmtb-articleLarge.jpg,"In a hint of a shift in strategy, some of the country’s most powerful institutions have started choosing to resist.","In a hint of a shift in strategy, some of the country’s most powerful institutions have started choosing to resist.",Trump’s Threats Force Institutions to Choose: Cut a Deal or Fight Back. Institutions Targeted by Trump Face a Choice: Cut a Deal or Resist,"'President Trump has succeeded in wrenching enormous concessions through threats, lawsuits and coercion.'"
U.S.,31dc-trump-asdw-articleLarge.jpg,"In wide-ranging remarks at a New Year’s Eve party at Mar-a-Lago, the president-elect also predicted that Mike Johnson would secure enough votes to be re-elected as House speaker.","In wide-ranging remarks at a New Year’s Eve party at Mar-a-Lago, the president-elect also predicted that Mike Johnson would secure enough votes to be re-elected as House speaker.",Trump Says He Plans to Attend Carter’s Funeral. Trump Says He Will Attend Carter’s Funeral in Washington,'President-elect Donald J. Trump and Melania Trump arrived at a New Year’s Eve event at Mar-a-Lago on Tuesday.'
U.S.,24dc-prexy-bfgp-articleLarge-v2.jpg,"On Tuesday, America’s top intelligence officials will release their current assessment of Russia. They are caught between what their analysts say and what President Trump wants to hear.","On Tuesday, America’s top intelligence officials will release their current assessment of Russia. They are caught between what their analysts say and what President Trump wants to hear.",Is Russia an Adversary or a Future Partner? Trump’s Aides May Have to Decide..,"'“I thought he was straight up with me,” Steve Witkoff, an envoy for President Trump, said of Russia’s president, Vladimir V. Putin, during a recent interview with Tucker Carlson.'"
U.S.,28dc-assess1-plhw-articleLarge.jpg,The president’s explosive Oval Office encounter reflected his determination to put aside alliances and commitments to principles in favor of raw great power negotiations.,The president’s explosive Oval Office encounter reflected his determination to put aside alliances and commitments to principles in favor of raw great power negotiations.,Behind the Collision: Trump Jettisons Ukraine on His Way to a Larger Goal. Jettisoning Ukraine in Favor of Russia,'President Trump during his combative meeting in the Oval Office with President Volodymyr Zelensky of Ukraine on Friday.'
U.S.,22trump-news-janet-mills-qtpz-articleLarge.jpg,"The state’s first female governor and first female district attorney, the longtime Democratic politician has a history of supporting law enforcement.","The state’s first female governor and first female district attorney, the longtime Democratic politician has a history of supporting law enforcement.","What to Know About Janet Mills, the Maine Governor Who Told Trump, ‘See You in Court’.",'Gov. Janet Mills told President Trump on Friday that she would not accede to his executive order banning transgender athletes in women’s sports.'
U.S.,2025-02-25-boomerang-firings-index-articleLarge-v13.png,"Hundreds of federal workers — many of them in critical health and national security jobs — have been brought back, sometimes within days of their initial firings.","Hundreds of federal workers — many of them in critical health and national security jobs — have been brought back, sometimes within days of their initial firings.","Fired, Then Rehired, by the Trump Administration.",''
U.S.,27dc-patel1-vfgq-articleLarge.jpg,"In the call with top agents, Kash Patel, the new director, discussed fitness standards, playing on the bureau’s hockey team and partnering with Ultimate Fighting Championship.","In the call with top agents, Kash Patel, the new director, discussed fitness standards, playing on the bureau’s hockey team and partnering with Ultimate Fighting Championship.","With First Weekly Call, Patel Begins Serious Business of Running F.B.I..","'Kash Patel was sworn in as the director of the F.B.I. this month. Reactions to his videoconference call with top agents and others this week were mixed, according to people familiar with the details of the call.'"
