Tm,Opp,W/L
LAD,SDP,W
LAD,SDP,L
LAD,STL,W
LAD,STL,W
LAD,STL,L
LAD,STL,W
LAD,SFG,W
LAD,SFG,W
LAD,SFG,W
LAD,CHC,L
LAD,CHC,W
LAD,CHC,L
LAD,MIN,W
LAD,MIN,W
LAD,MIN,L
LAD,SDP,L
LAD,SDP,W
LAD,SDP,L
LAD,WSN,L
LAD,WSN,W
LAD,WSN,L
LAD,NYM,L
LAD,NYM,L
LAD,NYM,W
LAD,WSN,W
LAD,WSN,W
LAD,WSN,W
LAD,TOR,W
LAD,TOR,W
LAD,TOR,L
LAD,ARI,W
LAD,ARI,L
LAD,ARI,W
LAD,ATL,W
LAD,ATL,W
LAD,ATL,W
LAD,MIA,W
LAD,MIA,W
LAD,MIA,W
LAD,SDP,L
LAD,SDP,W
LAD,SDP,L
LAD,SFG,W
LAD,SFG,W
LAD,SFG,L
LAD,CIN,L
LAD,CIN,W
LAD,CIN,W
LAD,CIN,W
LAD,ARI,W
LAD,ARI,L
LAD,ARI,L
LAD,CIN,L
LAD,CIN,L
LAD,CIN,L
LAD,NYM,W
LAD,NYM,W
LAD,NYM,W
LAD,COL,L
LAD,COL,W
LAD,COL,W
LAD,PIT,L
LAD,PIT,L
LAD,PIT,W
LAD,NYY,W
LAD,NYY,W
LAD,NYY,L
LAD,TEX,W
LAD,TEX,L
LAD,TEX,L
LAD,KCR,W
LAD,KCR,L
LAD,KCR,W
LAD,COL,W
LAD,COL,W
LAD,COL,L
LAD,COL,W
LAD,LAA,L
LAD,LAA,W
LAD,CHW,W
LAD,CHW,W
LAD,CHW,W
LAD,SFG,L
LAD,SFG,W
LAD,SFG,L
LAD,ARI,W
LAD,ARI,L
LAD,ARI,L
LAD,MIL,W
LAD,MIL,W
LAD,MIL,L
LAD,PHI,L
LAD,PHI,L
LAD,PHI,L
LAD,DET,W
LAD,DET,L
LAD,DET,L
LAD,BOS,W
LAD,BOS,W
LAD,BOS,W
LAD,SFG,W
LAD,SFG,W
LAD,SFG,L
LAD,SFG,W
LAD,HOU,L
LAD,HOU,L
LAD,HOU,W
LAD,SDP,L
LAD,SDP,L
LAD,OAK,L
LAD,OAK,W
LAD,OAK,W
LAD,PHI,W
LAD,PHI,L
LAD,PHI,L
LAD,PIT,W
LAD,PIT,W
LAD,PIT,W
LAD,MIL,W
LAD,MIL,W
LAD,MIL,L
LAD,MIL,L
LAD,STL,W
LAD,STL,L
LAD,STL,W
LAD,SEA,W
LAD,SEA,W
LAD,SEA,W
LAD,TBR,W
LAD,TBR,L
LAD,TBR,W
LAD,BAL,L
LAD,BAL,W
LAD,BAL,W
LAD,ARI,W
LAD,ARI,W
LAD,ARI,L
LAD,ARI,W
LAD,LAA,W
LAD,LAA,L
LAD,CLE,L
LAD,CLE,W
LAD,CLE,W
LAD,CHC,L
LAD,CHC,L
LAD,CHC,W
LAD,ATL,L
LAD,ATL,L
LAD,ATL,W
LAD,ATL,W
LAD,MIA,L
LAD,MIA,W
LAD,MIA,W
LAD,COL,W
LAD,COL,L
LAD,COL,W
LAD,SDP,L
LAD,SDP,W
LAD,SDP,W
LAD,COL,W
LAD,COL,W
LAD,COL,W
