Name,Inn,Position
Will Smith,1051.1,C
Austin Barnes,366.1,C
Hunter Feduccia,28,C
Freddie Freeman,1270.1,1B
Enrique Hernández,96,1B
Cavan Biggio,78.1,1B
Miguel Rojas,1,1B
Gavin Lux,1053.1,2B
Chris Taylor,124,2B
Mookie Betts,105,2B
Miguel Rojas,95,2B
Enrique Hernández,51,2B
Amed Rosario,13,2B
Austin Barnes,2.1,2B
Tommy Edman,2,2B
Cavan Biggio,0,2B
Max Muncy,602.1,3B
Enrique Hernández,529,3B
Chris Taylor,141,3B
Cavan Biggio,108.1,3B
Miguel Rojas,64,3B
Amed Rosario,1,3B
Miguel Rojas,596,SS
Mookie Betts,531.1,SS
Tommy Edman,127,SS
Nick Ahmed,120.1,SS
Enrique Hernández,59.2,SS
Amed Rosario,10,SS
Gavin Lux,1.1,SS
Teoscar Hernández,871.2,LF
Chris Taylor,272,LF
Miguel Vargas,166,LF
Enrique Hernández,87,LF
Andy Pages,38,LF
Taylor Trammell,10,LF
James Outman,1,LF
Andy Pages,666,CF
James Outman,337.2,CF
Tommy Edman,188,CF
Kevin Kiermaier,172,CF
Enrique Hernández,54,CF
Chris Taylor,27,CF
Jason Heyward,1,CF
Teoscar Hernández,436.1,RF
Jason Heyward,434,RF
Mookie Betts,338,RF
Andy Pages,229.2,RF
Cavan Biggio,4.2,RF
Taylor Trammell,2,RF
James Outman,1,RF
