Player,IP,ERA+EE¼
Michael Kopech,24,351
Kyle Hurt,6.2,305
River Ryan,20.1,299
Alex Vesia,66.1,222
Dinelson Lamet,4.1,204
Blake Treinen,46.2,203
Ben Casparius,8.1,189
Brusdar Graterol,7.1,167
Edgardo Henriquez,3.1,161
Nabil Crismatt,7,160
Brent Honeywell Jr.,34.1,150
Gus Varland,6,138
Daniel Hudson,63,130
Yoshinobu Yamamoto,90,130
Anthony Banda,49.2,127
Tyler Glasnow,134,112
Ryan Brasier,28,112
Gavin Stone,140.1,111
Jack Flaherty,55.1,109
Evan Phillips,54.2,108
Landon Knack,69,107
Ryan Yarbrough,67.1,105
Kike Hernández,4.1,102
James Paxton,89.1,88
Clayton Kershaw,30,88
Joe Kelly,32,82
Michael Grove,51,77
Walker Buehler,75.1,73
Yohan Ramirez,29.1,71
Justin Wrobleski,36.1,69
Nick Ramirez,13.1,66
Michael Petersen,14,62
J.P. Feyereisen,11,49
Elieser Hernández,9.2,48
Bobby Miller,56,46
Ricky Vanasco,2,34
Connor Brogdon,1,30
Zach Logue,2,26
Eduardo Salazar,2,0
Miguel Rojas,1,0
