Player,IP
Gavin Stone,140.1
Tyler Glasnow,134
Yoshinobu Yamamoto,90
James Paxton,89.1
Walker Buehler,75.1
Landon Knack,69
Ryan Yarbrough,67.1
Alex Vesia,66.1
Daniel Hudson,63
Bobby Miller,56
Jack Flaherty,55.1
Evan Phillips,54.2
Michael Grove,51
Anthony Banda,49.2
Blake Treinen,46.2
Justin Wrobleski,36.1
Brent Honeywell Jr.,34.1
Joe Kelly,32
Clayton Kershaw,30
Yohan Ramírez,29.1
Ryan Brasier,28
Michael Kopech,24
River Ryan,20.1
Michael Petersen,14
Nick Ramirez,13.1
J.P. Feyereisen,11
Elieser Hernández,9.2
Ben Casparius,8.1
Brusdar Graterol,7.1
Nabil Crismatt,7
Kyle Hurt,6.2
Gus Varland,6
Dinelson Lamet,4.1
Kiké Hernández,4.1
Edgardo Henriquez,3.1
Ricky Vanasco,2
Zach Logue,2
Eduardo Salazar,2
Connor Brogdon,1
Miguel Rojas,1
